Column1;metaphor;sourceFrame;targetFrame;sourceRole;targetRole;example;gpt4_output;key_concepts
18;ANGER_IS_INSANITY;Insanity;Anger;"insane_person;insane_behavior;agitation_level;agitation_limit;cause_of_insanity;insanity";"experiencer;angry_action;anger_level;anger_limit;cause_of_anger;anger";"I just touched him and he went crazy; You're driving me nuts!; I'm mad!; When the up threw him out of the game Billy started foaming at the mouth; If anything else goes wrong I'll get hysterical ; He got so angry he went out of his mind; When my mother finds out she'll have a fit; He's tearing his hair out!; The loud music next door has got him climbing the walls!";"The metaphor ANGER_IS_INSANITY is a conceptual metaphor that maps the source frame of insanity onto the target frame of anger. This metaphorical mapping is based on the shared characteristics of *loss of control*, *irrational behavior*, and *extreme emotional response* that are common to both insanity and anger. 

In the source frame, the role of the 'insane_person' corresponds to the 'experiencer' in the target frame. This connection highlights the individual who is undergoing the intense emotional state, whether it be anger or insanity. The 'insane_behavior' in the source frame is mirrored by 'angry_action' in the target frame, emphasizing the irrational and often uncontrollable actions that result from both states. 

The 'agitation_level' and 'agitation_limit' in the source frame map onto 'anger_level' and 'anger_limit' in the target frame, respectively. This connection underscores the escalating intensity of the emotional state, and the threshold beyond which the individual loses control, metaphorically crossing into the realm of insanity when they become excessively angry.

The 'cause_of_insanity' in the source frame corresponds to the 'cause_of_anger' in the target frame. This connection suggests that specific triggers or events can provoke both insanity and anger. 

Finally, the role of 'insanity' in the source frame is linked to 'anger' in the target frame, reinforcing the overall metaphorical concept that extreme anger is akin to insanity.

The examples provided further illustrate these metaphorical connections. Phrases such as ""he went crazy"", ""you're driving me nuts"", ""I'm mad"", ""foaming at the mouth"", ""get hysterical"", ""went out of his mind"", ""have a fit"", ""tearing his hair out"", and ""climbing the walls"" all depict anger in terms of insanity, emphasizing the *loss of control*, *irrational behavior*, and *extreme emotional response* that characterize both states.

In essence, the metaphor ANGER_IS_INSANITY encapsulates the idea that intense anger can lead to a state of mind and behavior that resembles insanity, highlighting the potential for *destructiveness*, *chaos*, and *disruption* that can result from uncontrolled anger. This metaphor also implies a *warning* about the dangers of unchecked anger, suggesting that it can lead to a metaphorical 'insanity' that is socially unacceptable and potentially harmful.";"loss of control; irrational behavior; extreme emotional response; loss of control; irrational behavior; extreme emotional response; destructiveness; chaos; disruption; warning"
19;ANGER_IS_THE_HEAT_OF_FLUID_IN_A_CONTAINER;Heating_fluid;Anger;"container_top;container_pressure_limit;container_heat;fluid;container;fluid_agitation;container_internal_pressure;fluid_heat_level";"mind;anger_limit;body_heat;anger;body;body_agitation;body_pressure;anger_level";"You make my blood boil; I had reached the boiling point";"In the metaphor ANGER_IS_THE_HEAT_OF_FLUID_IN_A_CONTAINER, the source frame is Heating_fluid and the target frame is Anger. The metaphorical connections between roles in the source frame and those in the target frame can be analyzed as follows:

1. *Container_top* in the source frame corresponds to *mind* in the target frame. This suggests that the mind is seen as a container that can be filled with anger, similar to how a container can be filled with a fluid. This connection implies a *limitation* or *capacity* concept, where the mind, like a container, has a certain capacity to hold anger.

2. *Container_pressure_limit* corresponds to *anger_limit*. This connection implies that there is a certain limit to how much anger one can hold before it becomes too much, similar to how a container has a pressure limit before it can no longer contain the fluid.

3. *Container_heat* and *fluid_heat_level* correspond to *body_heat* and *anger_level* respectively. This suggests that as the heat in the container or fluid increases, so does the level of anger. This connection implies the concept of *intensity* or *escalation*.

4. *Fluid* and *fluid_agitation* correspond to *anger* and *body_agitation*. This suggests that anger is seen as a fluid that can be agitated, similar to how a fluid in a container can be agitated. This connection implies the concept of *disturbance* or *disruption*.

5. *Container* corresponds to *body*. This suggests that the body is seen as a container for anger, similar to how a container holds fluid. This connection implies the concept of *containment*.

6. *Container_internal_pressure* corresponds to *body_pressure*. This suggests that as the internal pressure in the container increases, so does the pressure in the body. This connection implies the concept of *stress* or *tension*.

The examples ""You make my blood boil"" and ""I had reached the boiling point"" further illustrate these connections. The phrase ""blood boil"" metaphorically represents the escalation of anger (heat of fluid), and ""reached the boiling point"" represents the limit of anger (container's pressure limit). 

This metaphor highlights the *dynamics* and *intensity* of anger, comparing it to the physical process of heating a fluid in a container. It encompasses nuances such as *pressure buildup & release*, *limits & overflow*, and *agitation paralleled with emotional disturbance*.";"Container_top; mind; limitation; capacity; Container_pressure_limit; anger_limit; Container_heat; fluid_heat_level; body_heat; anger_level; intensity; escalation; Fluid; fluid_agitation; anger; body_agitation; disturbance; disruption; Container; body; containment; Container_internal_pressure; body_pressure; stress; tension; dynamics; intensity; pressure buildup & release; limits & overflow; agitation paralleled with emotional disturbance"
20;ARITHMETIC_IS_OBJECT_CONSTRUCTION;Object_Construction;Arithmetic;"objects;taking_apart;object_whole;bigger;putting_together;construction_act;smaller;smallest_object;object_size;constructed_object";"numbers;subtraction;number_whole;greater;addition;arithmetic_operation;less;one;number_size;arithmetic_operation_result";"Five is made up of two plus three; If you put 2 and 2 together you get 4";"The metaphor ARITHMETIC_IS_OBJECT_CONSTRUCTION presents a conceptual framework where the abstract process of arithmetic is understood in terms of the more concrete, tangible process of object construction. This metaphorical connection allows for a more intuitive understanding of mathematical concepts, especially for those who are visual or hands-on learners.

The source frame, Object_Construction, involves roles such as objects, taking_apart, object_whole, bigger, putting_together, construction_act, smaller, smallest_object, object_size, and constructed_object. These roles are metaphorically mapped onto the target frame, Arithmetic, with corresponding roles: numbers, subtraction, number_whole, greater, addition, arithmetic_operation, less, one, number_size, and arithmetic_operation_result.

The metaphorical connections between these roles can be analyzed as follows:

- *Objects* in the source frame correspond to *numbers* in the target frame. Just as objects are the basic units in construction, numbers are the basic units in arithmetic.

- The act of *taking_apart* objects aligns with the arithmetic operation of *subtraction*. This connection highlights the conceptual link between deconstructing an object into smaller parts and subtracting numbers to yield a smaller result.

- The *object_whole* corresponds to the *number_whole*. This suggests the idea that numbers, like objects, can be seen as wholes that are composed of smaller parts.

- The terms *bigger* and *greater* are directly comparable, representing the concept of *increased size or quantity* in both frames.

- *Putting_together* objects is metaphorically linked to the operation of *addition*. This connection underscores the idea that adding numbers is akin to constructing a larger object from smaller parts.

- The *construction_act* is paralleled with *arithmetic_operation*. This implies that performing arithmetic is like engaging in a process of construction.

- The terms *smaller* and *less* are directly comparable, representing the concept of *decreased size or quantity* in both frames.

- The *smallest_object* corresponds to the number *one*, suggesting the idea of a basic, indivisible unit in both frames.

- *Object_size* is linked to *number_size*, indicating that the size of an object can be represented numerically.

- The *constructed_object* corresponds to the *arithmetic_operation_result*. This connection implies that the result of an arithmetic operation is like a newly constructed object.

The examples provided further illustrate these metaphorical connections. For instance, ""Five is made up of two plus three"" and ""If you put 2 and 2 together you get 4"" both express the idea of *addition as construction*, where numbers are put together to create a larger whole.

This metaphorical framework not only aids in understanding arithmetic but also highlights the underlying dynamics of *transformation*, *composition*, and *decomposition*. Just as objects can be assembled and disassembled, numbers can be added and subtracted. This metaphor also encompasses nuances such as *scale & proportion*, *unity & divisibility*, and *construction paralleled with calculation*.";"Objects; numbers; taking_apart; subtraction; object_whole; number_whole; bigger; greater; increased size or quantity; Putting_together; addition; construction_act; arithmetic_operation; smaller; less; decreased size or quantity; smallest_object; one; Object_size; number_size; constructed_object; arithmetic_operation_result; addition as construction; transformation; composition; decomposition; scale & proportion; unity & divisibility; construction paralleled with calculation"
21;ATTAINING_CONTROL_IS_GAINING_A_POSSESSION;Gain_possession;Control;"possession;recipient;getting_x-schema.finish";"ability_to_control;controlling_entity;control_relation_status.start";"You could talk about the dealerships auto dealerships that were closed down when the government got control of a couple of the auto companies an awful lot of people lost jobs businesses were closed and so on; The Shadow Party: How George Soros Hillary Clinton and Sixties Radicals Seized Control of the Democratic Party";"In the metaphor ATTAINING_CONTROL_IS_GAINING_A_POSSESSION, the source frame is Gain_possession and the target frame is Control. The metaphorical connection between these two frames is the concept of *acquisition* and *ownership*. In the source frame, the roles of possession, recipient, and getting_x-schema.finish are paralleled in the target frame by ability_to_control, controlling_entity, and control_relation_status.start. 

The linguistic ties between these roles can be seen in the use of words and phrases that denote acquisition and control. For example, in the phrase ""the government got control of a couple of the auto companies"", the word ""got"" is used to denote the acquisition (gaining possession) and ""control"" denotes the ability to direct or influence (control). Similarly, in the book title ""The Shadow Party: How George Soros Hillary Clinton and Sixties Radicals Seized Control of the Democratic Party"", the word ""seized"" denotes a forceful acquisition (gaining possession) and ""control"" again denotes the ability to direct or influence (control).

Conceptually, the metaphor draws a parallel between the physical act of gaining possession of an object and the abstract act of attaining control over something. Just as one gains possession of an object and becomes the owner with the ability to use or dispose of the object as they wish, one who attains control becomes the controlling entity with the ability to direct or influence the course of the controlled entity. 

The underlying dynamics of this metaphor involve the concepts of *power* and *authority*. In both gaining possession and attaining control, there is a transfer of power from one entity to another. The entity that gains possession or attains control now has the authority to determine the fate of the possessed or controlled entity. This metaphor also encompasses nuances such as *struggle for control*, *dominance*, and *influence*. 

In the examples provided, the government and the radicals are portrayed as entities that have gained possession (attained control) and thus have the power and authority to determine the fate of the auto companies and the Democratic Party respectively. This metaphor thus serves to highlight the dynamics of power and control in these contexts.";"acquisition; ownership; power; authority; struggle for control; dominance; influence"
22;ATTRIBUTES_ARE_ENTITIES;Entity;Attribute;entity;attribute;If you soak it in water the wood will lose its rigidity;"In the metaphor ATTRIBUTES_ARE_ENTITIES, the source frame is an 'Entity' and the target frame is an 'Attribute'. The source role is an 'entity' and the target role is an 'attribute'. The example given is 'If you soak it in water the wood will lose its rigidity'. 

The metaphorical connection between the roles in the source frame and those in the target frame is that the 'entity' (wood) is being used to represent the 'attribute' (rigidity). This is a conceptual tie, as the physical properties of the wood (its rigidity) are being used to represent an abstract concept (the attribute of rigidity). 

The linguistic tie is the use of the verb 'lose', which is typically used to describe the loss of a physical entity, but in this case is being used to describe the loss of an attribute. This creates a metaphorical connection between the physical act of losing an entity and the abstract concept of losing an attribute.

Diving deeper into the metaphor, we can extract the concept of *transformation*. Just as wood loses its rigidity when soaked in water, an attribute can be lost or changed under certain conditions. This metaphor also implies the concept of *vulnerability*, as the wood's rigidity is not inherent or permanent, but can be lost. 

Another key concept is *conditionality*. The wood's rigidity is conditional on it not being soaked in water, just as an attribute might be conditional on certain circumstances. 

Finally, the metaphor suggests the concept of *interdependence* between entities and their attributes. The wood's identity is tied to its rigidity, just as an entity might be defined by its attributes. 

Overall, the metaphor ATTRIBUTES_ARE_ENTITIES uses the physical properties of an entity to represent the abstract concept of an attribute, drawing on concepts of transformation, vulnerability, conditionality, and interdependence.";"transformation; vulnerability; conditionality; interdependence"
23;ATTRIBUTES_ARE_POSSESSIONS;Possession;Attribute;"posessor;possession";"entity;attribute";"She has a sunny disposition; This place has lost a lot of its charm; The new mustache gave him an older appearance";"In the metaphor ATTRIBUTES_ARE_POSSESSIONS, the source frame is Possession and the target frame is Attribute. The roles in the source frame are 'possessor' and 'possession', and these correspond to 'entity' and 'attribute' in the target frame, respectively. 

The metaphorical connection between these roles is that attributes, which are intangible qualities or characteristics, are conceptualized as possessions, which are tangible items that one owns or controls. This metaphor allows us to understand abstract concepts (attributes) in terms of more concrete, familiar experiences (possessions).

In the example ""She has a sunny disposition"", the woman (entity) is the possessor and the sunny disposition (attribute) is the possession. This metaphorical mapping allows us to understand the woman's disposition as something she owns or controls, similar to a physical object. 

Similarly, in the example ""This place has lost a lot of its charm"", the place (entity) is the possessor and the charm (attribute) is the possession. The metaphor suggests that the place once 'owned' or 'had' charm, but it has now 'lost' it, as one might lose a physical object.

In the third example, ""The new mustache gave him an older appearance"", the man (entity) is the possessor and the older appearance (attribute) is the possession. The mustache is seen as 'giving' him this possession, much like one might give a physical gift.

The underlying dynamics of this metaphor involve the conceptualization of intangible attributes as tangible possessions. This involves the key concepts of *ownership* and *control*. Just as we own and control our possessions, we are seen as owning and controlling our attributes. This metaphor also involves the concept of *transformation*, as attributes can be 'gained', 'lost', or 'given', just like possessions. 

Moreover, the metaphor encompasses nuances such as *value & worth* (some attributes/possessions are more desirable than others), *transience & permanence* (attributes/possessions can be temporary or lasting), and *visibility & invisibility* (attributes, unlike possessions, are not always immediately visible).";"ownership; control; transformation; value & worth; transience & permanence; visibility & invisibility"
24;BEING_GOOD_IS_BEING_UPRIGHT;Upright_posture;Moral_goodness;"upright_position;upright_person";"goodness;good_person";He is an upstanding citizen;"In the metaphor BEING_GOOD_IS_BEING_UPRIGHT, the source frame is Upright_posture and the target frame is Moral_goodness. The source role is an upright_position or an upright_person, and the target role is goodness or a good_person. The example given is ""He is an upstanding citizen.""

The metaphorical connection between the roles in the source frame and those in the target frame is primarily based on the conceptual and linguistic association between physical uprightness and moral goodness. 

Conceptually, *uprightness* in physical terms is often associated with strength, balance, and stability. These are qualities that are often admired and seen as positive. When this concept is transferred to the moral domain, it suggests a person who is morally strong, balanced, and stable - in other words, a *good person*. 

Linguistically, the term ""upright"" is often used to describe someone who is honest, fair, and righteous. This is a direct transfer from the physical to the moral domain, where the upright position of the body is metaphorically linked to the upright character of a person. 

The example ""He is an upstanding citizen"" illustrates this metaphorical connection. The term ""upstanding"" is a linguistic manifestation of the metaphor, denoting a person who is morally upright or good. 

The underlying dynamics of this metaphor involve the *transference* of qualities from the physical to the moral domain. This is a common feature of metaphors, where concrete, tangible concepts are used to understand and describe abstract, intangible ones. 

In this case, the physical act of standing upright is used to represent and understand the abstract concept of being morally good. This involves a process of *mapping* from the source domain (physical uprightness) to the target domain (moral goodness). 

This metaphor also implies a sense of *visibility* and *transparency*. Just as an upright posture is easily observable, an upright or good person is someone whose moral qualities are clear and evident to others. This suggests a connection between physical uprightness and moral transparency, adding another layer to the metaphor. 

Finally, the metaphor also encompasses nuances such as *consistency* and *steadfastness*. Just as maintaining an upright posture requires consistency and steadfastness, being a good person involves consistently adhering to moral principles and remaining steadfast in the face of moral challenges.";"uprightness; good person; transference; mapping; visibility; transparency; consistency; steadfastness"
25;BEING_IMMORAL_IS_BEING_LOW;Verticality;Morality;person_in_low_position;immoral_person;I refuse to stoop to that kind of behavior;"In the metaphor BEING_IMMORAL_IS_BEING_LOW, the source frame is Verticality, and the target frame is Morality. The source role is a person in a low position, and the target role is an immoral person. The example given is ""I refuse to stoop to that kind of behavior.""

The metaphorical connection between the roles in the source frame and those in the target frame is based on the conceptual mapping of *vertical position* onto *moral standing*. This metaphor is rooted in our physical and social experiences, where being 'up' is often associated with power, status, and goodness, while being 'down' is linked with weakness, low status, and badness. 

In this metaphor, the *low position* in the source frame is conceptually linked to *immorality* in the target frame. This connection implies that immoral actions or behaviors are considered 'low' or beneath one's dignity. The act of 'stooping' in the example sentence further strengthens this connection, as it physically represents lowering oneself, which metaphorically signifies lowering one's moral standards.

The metaphor also implies a *hierarchical structure* in morality, where some actions are considered 'higher' (more moral) and others 'lower' (less moral). This hierarchy is conceptually tied to the verticality frame, where a person's position can be 'high' or 'low'. 

The metaphor also suggests a *choice or decision* to maintain one's moral standing. In the example, the speaker 'refuses to stoop', indicating a conscious decision not to engage in immoral behavior. This decision can be seen as a form of *self-regulation* or *self-control*, further linking the metaphor to concepts of personal integrity and moral responsibility.

In summary, the metaphor BEING_IMMORAL_IS_BEING_LOW connects the roles of a person in a low position (source frame) and an immoral person (target frame) through the concepts of *vertical position*, *moral hierarchy*, *choice or decision*, and *self-regulation*.";"vertical position; moral standing; low position; immorality; hierarchical structure; choice or decision; self-regulation; self-control; vertical position; moral hierarchy; choice or decision; self-regulation"
26;BELIEFS_ARE_POSSESSIONS;Possession;Belief;"possession_relation;possession;possessor;possess_relation_status";"belief_relation;belief;believer;belief_relation_status";Hold on to your beliefs and never let them go;"In the metaphor BELIEFS_ARE_POSSESSIONS, the source frame is Possession and the target frame is Belief. The roles in the source frame are possession_relation, possession, possessor, and possess_relation_status, while the roles in the target frame are belief_relation, belief, believer, and belief_relation_status. 

The metaphorical connections between the roles in the source frame and those in the target frame are as follows:

1. *Possession_relation* in the source frame corresponds to *belief_relation* in the target frame. This implies that the way we relate to our possessions is metaphorically similar to how we relate to our beliefs. Just as we own, control, and manage our possessions, we also 'own', control, and manage our beliefs. 

2. *Possession* in the source frame corresponds to *belief* in the target frame. This suggests that beliefs are viewed as possessions that one can acquire, hold, and potentially lose. This connection highlights the *value* and *personal attachment* we place on our beliefs, similar to our possessions.

3. *Possessor* in the source frame corresponds to *believer* in the target frame. This indicates that the individual who holds the belief is seen as the 'owner' of that belief, similar to how a person owns a possession. This connection underscores the *personal responsibility* and *agency* we have over our beliefs.

4. *Possess_relation_status* in the source frame corresponds to *belief_relation_status* in the target frame. This suggests that the status of our relationship with our possessions (e.g., whether we still own them, have lost them, etc.) is metaphorically similar to the status of our relationship with our beliefs (e.g., whether we still hold them, have abandoned them, etc.). This connection emphasizes the *dynamic nature* of our beliefs, which can change over time just like our possessions.

The example ""Hold on to your beliefs and never let them go"" illustrates these connections. Just as we hold on to valuable possessions and do not easily let them go, we are encouraged to hold on to our beliefs and not easily abandon them. This highlights the *endurance* and *steadfastness* that are often associated with strong beliefs, as well as the *effort* and *determination* required to maintain them, similar to valuable possessions. 

In sum, the metaphor BELIEFS_ARE_POSSESSIONS conceptualizes beliefs as possessions that we own, value, and manage. This metaphor not only captures the personal attachment and responsibility we have towards our beliefs, but also the dynamic nature of our beliefs, which can change over time just like our possessions.";"Possession_relation; belief_relation; Possession; belief; value; personal attachment; Possessor; believer; personal responsibility; agency; Possess_relation_status; belief_relation_status; dynamic nature; endurance; steadfastness; effort; determination"
27;BODY_IS_A_CONTAINER_FOR_EMOTIONS;Fluid_containment;Emotion;"fluid_level;fluid;container;container_capacity";"emotion_level;emotion;body;emotion_limit";"He was filled with anger; She couldn't contain her joy; She was brimming with rage";"In the metaphor BODY_IS_A_CONTAINER_FOR_EMOTIONS, the source frame is Fluid_containment and the target frame is Emotion. The metaphorical connections between the roles in the source frame and those in the target frame are as follows:

1. The source role of 'fluid_level' corresponds to the target role of 'emotion_level'. This connection suggests that emotions, like fluid levels, can rise and fall, indicating the intensity or degree of the emotion. This connection also implies that emotions can be measured or quantified, similar to how we can measure the level of a fluid in a container.

2. The source role of 'fluid' corresponds to the target role of 'emotion'. This connection implies that emotions, like fluids, can flow, be contained, and can overflow if the level becomes too high. This connection also suggests that emotions can be 'poured out' or 'drained', similar to how fluids can be poured out of a container or drained.

3. The source role of 'container' corresponds to the target role of 'body'. This connection suggests that the body, like a container, holds emotions. This connection also implies that the body has a capacity for emotions, similar to how a container has a capacity for fluids.

4. The source role of 'container_capacity' corresponds to the target role of 'emotion_limit'. This connection suggests that there is a limit to the amount of emotion a body can hold, similar to how there is a limit to the amount of fluid a container can hold. This connection also implies that exceeding this limit can result in an overflow of emotions, similar to how exceeding the capacity of a container can result in an overflow of fluid.

The metaphor BODY_IS_A_CONTAINER_FOR_EMOTIONS highlights the conceptual ties between the physical experience of containing fluids and the abstract experience of feeling emotions. It suggests that emotions, like fluids, are something we carry within us, that they can be measured, and that there is a limit to how much we can hold. This metaphor also implies that emotions can be released or 'poured out', and that doing so can relieve the pressure of holding too much, similar to how releasing fluid from a container can prevent it from overflowing. This metaphor thus encapsulates the concepts of *containment*, *measurement*, *capacity*, and *release*.";"containment; measurement; capacity; release"
28;CAUSATION_IS_OBJECT_TRANSFER;Transfer_scenario;Causation;"transferor;transferred_object;transfer_recipient";"agent;effect;affected";The noise is giving me a headache;"In the metaphor CAUSATION_IS_OBJECT_TRANSFER, the source frame is a Transfer_scenario and the target frame is Causation. The roles in the source frame are transferor, transferred_object, and transfer_recipient, while the roles in the target frame are agent, effect, and affected. 

Conceptually, the metaphor draws a parallel between the act of transferring an object from one entity to another and the process of one event causing another. The *transferor* in the source frame corresponds to the *agent* in the target frame, suggesting that the entity initiating the transfer is also the one causing the effect. In the given example, ""The noise"" is the transferor and also the agent causing the effect.

The *transferred_object* in the source frame corresponds to the *effect* in the target frame. This implies that the object being transferred is metaphorically the result or consequence of the causation. In the example, ""a headache"" is the transferred object and also the effect of the noise.

The *transfer_recipient* in the source frame corresponds to the *affected* in the target frame, indicating that the entity receiving the object is the one affected by the causation. In the example, ""me"" is the transfer recipient and also the one affected by the noise.

Linguistically, the verb ""is giving"" in the example serves as a bridge between the source and target frames, embodying both the act of transferring an object and the process of causation. 

This metaphor also reveals deeper dynamics and implicit concepts such as *responsibility* and *impact*. The transferor or agent is seen as responsible for the transfer or causation, and the transferred object or effect represents the impact of this action on the transfer recipient or affected party. This metaphor can be used to highlight the direct and tangible consequences of certain actions or events, making abstract causation more concrete and understandable.";"transferor; agent; transferred_object; effect; transfer_recipient; affected; responsibility; impact"
29;CAUSED_CHANGE_OF_STATE_IS_CAUSED_CHANGE_OF_LOCATION;Forced_motion;Caused_change_of_state;"forceful_action;motion;agent;mover";"cause;state_change;agent;affected";"She was forced into an arranged marriage; Her parents kept pushing her until she succeeded";"In the metaphor CAUSED_CHANGE_OF_STATE_IS_CAUSED_CHANGE_OF_STATE, the source frame is Forced_motion and the target frame is Caused_change_of_state. The roles in the source frame are forceful_action, motion, agent, and mover, while the roles in the target frame are cause, state_change, agent, and affected.

The metaphorical connections between the roles in the source and target frames can be identified as follows:

1. *Forceful_action* in the source frame corresponds to *cause* in the target frame. This connection implies that the exertion of force or pressure (physical or metaphorical) can lead to a change in state. For example, in the provided examples, the parents' persistent pushing (forceful action) leads to their daughter's success (change of state).

2. *Motion* in the source frame is linked to *state_change* in the target frame. This suggests that the act of moving or being moved can be metaphorically seen as a transition from one state to another. In the examples, the forced motion into an arranged marriage represents a significant change in the woman's life state.

3. The *agent* in the source frame, the one who initiates the forceful action or motion, corresponds to the *agent* in the target frame, the one who causes the change of state. This highlights the role of an external entity in instigating change.

4. The *mover* in the source frame is connected to the *affected* in the target frame. This implies that the one who is moved or forced to move is the one who undergoes the change of state. In the examples, the woman is the one who is forced into motion (arranged marriage, pushed to succeed) and thus experiences the change of state.

The underlying dynamics of this metaphor involve the concept of *force* and *change*. The forceful action or motion instigated by an agent leads to a change in state for the affected party. This metaphor also encompasses nuances such as *resistance & compliance*, *direction & destination*, and *pressure paralleled with motivation*. The metaphor suggests that forceful actions, even if resisted, can lead to significant changes, and that the direction of the forced motion can determine the nature of the state change. Furthermore, the metaphor implies that pressure can serve as a form of motivation leading to change.";"Forceful_action; cause; Motion; state_change; agent; agent; mover; affected; force; change; resistance & compliance; direction & destination; pressure paralleled with motivation"
30;CAUSING_ECONOMIC_HARDSHIP_IS_CAUSING_PHYSICAL_HARM;Harm_to_living_entity;Economic_difficulty;"agent;physical_harm;victim";"cause_of_difficulty;difficulty;actor";Another round of cuts will cripple the economy;"In the metaphor CAUSING_ECONOMIC_HARDSHIP_IS_CAUSING_PHYSICAL_HARM, the source frame is ""Harm_to_living_entity"" and the target frame is ""Economic_difficulty"". The roles in the source frame are the agent, physical harm, and the victim, while the roles in the target frame are the cause of difficulty, difficulty, and the actor. 

The metaphorical connections between these roles can be understood as follows:

1. The *agent* in the source frame corresponds to the *cause of difficulty* in the target frame. This is the entity or action that initiates the harm or difficulty. In the given example, ""Another round of cuts"" is the agent that causes the economic hardship.

2. The *physical harm* in the source frame corresponds to the *difficulty* in the target frame. This is the negative outcome or impact caused by the agent. In the example, the economic hardship is the difficulty that is metaphorically equated to physical harm.

3. The *victim* in the source frame corresponds to the *actor* in the target frame. This is the entity that suffers or experiences the harm or difficulty. In the example, ""the economy"" is the actor that experiences the economic hardship.

Conceptually, this metaphor is based on the idea that economic hardship can be as damaging and painful as physical harm. This is a powerful metaphor because it highlights the severity and impact of economic difficulties, making them more tangible and relatable. 

The metaphor also implies a sense of *responsibility* and *consequence*. Just as causing physical harm to a living entity is generally seen as a serious wrongdoing, causing economic hardship is also viewed negatively. This metaphor thus emphasizes the responsibility of the agent (or cause of difficulty) and the serious consequences of their actions.

Furthermore, the metaphor suggests a process of *transformation* and *degradation*. Just as physical harm can lead to a decline in health, economic hardship can lead to a decline in economic health or prosperity. This metaphor thus captures the dynamics of decline and degradation in both physical and economic contexts.

Finally, the metaphor implies a sense of *vulnerability* and *suffering*. Just as a victim of physical harm suffers pain and distress, an actor experiencing economic difficulty also suffers. This metaphor thus highlights the suffering and vulnerability associated with economic hardship.";"agent; cause of difficulty; physical harm; difficulty; victim; actor; responsibility; consequence; transformation; degradation; vulnerability; suffering"
31;CHANGE_IN_CONTROLLER_IS_TRANSFER_OF_POSSESSION;Transfer_scenario;Control;"recipient;donor;transferred_possession";"controlling_entity;controlling_entity;ability_to_control";"The US handed over control of the prisoners to Afghan authorities; The Democrats wrested control of four governerships from the Republicans in some cases the loss of possession is not voluntary; The government acquired control of the company's assets";"In the metaphor CHANGE_IN_CONTROLLER_IS_TRANSFER_OF_POSSESSION, the source frame is a Transfer_scenario and the target frame is Control. The metaphorical connection between these frames is that a change in control is conceptualized as a transfer of possession. 

In the source frame, the roles are the recipient, donor, and transferred_possession. In the target frame, these roles correspond to the controlling_entity, the entity losing control, and the ability_to_control, respectively. 

The recipient in the source frame is the entity that receives the transferred possession. This corresponds to the controlling_entity in the target frame, which is the entity that gains control. For example, in the sentence ""The US handed over control of the prisoners to Afghan authorities"", the Afghan authorities are the recipient of the transferred possession (control of the prisoners), making them the controlling_entity.

The donor in the source frame is the entity that gives away the possession. This corresponds to the entity losing control in the target frame. For example, in the sentence ""The Democrats wrested control of four governorships from the Republicans"", the Republicans are the donor of the transferred possession (control of the governorships), making them the entity losing control.

The transferred_possession in the source frame is the possession that is being transferred from the donor to the recipient. This corresponds to the ability_to_control in the target frame, which is what is gained or lost in the change of control. For example, in the sentence ""The government acquired control of the company's assets"", the control of the company's assets is the transferred_possession, making it the ability_to_control.

Conceptually, this metaphor highlights the dynamics of power and authority. Just as possessions can be given, taken, or lost, so can control. This metaphor also implies a *zero-sum game* where control is a finite resource that one entity's gain is another's loss. It also implies a *transactional nature* of control, similar to the exchange of physical possessions. 

Linguistically, verbs associated with transfer such as ""handed over"", ""wrested"", and ""acquired"" are used to describe changes in control, reinforcing the metaphorical connection. 

In terms of underlying dynamics, this metaphor suggests that control, like possession, can be *volatile* and *contingent*, subject to change based on various factors. It also implies that control, once transferred, changes the *status* and *power dynamics* between entities, similar to how ownership of a possession can change one's status and relationships with others.";"zero-sum game; transactional nature; volatile; contingent; status; power dynamics"
32;CHANGE_IS_ACQUISITION;Gain_possession;Change_of_state;"possession;recipient";"final_state;experiencer";I got a headache;"In the given data, the metaphor is CHANGE_IS_ACQUISITION. The source frame is Gain_possession, and the target frame is Change_of_state. The source roles are possession and recipient, while the target roles are final_state and experiencer. The example provided is ""I got a headache.""

The metaphorical connection between the roles in the source frame and those in the target frame is that the process of *acquiring* something (a possession) is likened to the process of *experiencing* a change (a final state). In the source frame, the recipient gains possession of something, which is metaphorically linked to the experiencer in the target frame, who undergoes a change of state.

Conceptually, this metaphor suggests that changes are not merely things that happen to us passively, but rather things that we actively *acquire*, much like possessions. This implies a degree of *agency* and *control* over the changes we experience, as well as a sense of *ownership* over them. It also suggests that changes, like possessions, can be *tangible* and *concrete*, even if they are not physically so.

Linguistically, the verb ""got"" in the example ""I got a headache"" serves to bridge the source and target frames. It is a verb commonly used to denote acquisition (as in ""I got a new car""), but here it is used to denote a change of state (from not having a headache to having one). This linguistic tie reinforces the conceptual link between acquisition and change.

Furthermore, the metaphor also implies a process of *transformation* - from not having a possession to having one, and from one state to another. This transformation is not merely a change in status, but a change in the experiencer's condition or situation. It also implies a sense of *inevitability* or *irreversibility* - once you have acquired a possession or experienced a change, you cannot 'un-acquire' or 'un-experience' it.

This metaphor also encompasses nuances such as *value & worth* (as possessions are often valued), *desire & need* (as we often acquire things we want or need), and *effort & struggle* (as acquisition often requires effort). These nuances add depth to the metaphor, making it a rich and complex way of conceptualizing change.";"acquiring; experiencing; acquire; agency; control; ownership; tangible; concrete; transformation; inevitability; irreversibility; value & worth; desire & need; effort & struggle"
