ResponseId,Response,Filename,Question
R_1bjHrCnCSgQGxzj,,"Implicit 15_July 3, 2024_03.46.csv",SERVANT and GOVERNMENT
R_2CzRFCU0UjbGT2F,,"Implicit 15_July 3, 2024_03.46.csv",SERVANT and GOVERNMENT
R_60OWT6SmnkvKkiu,Democracy enables you to see things without a visual obstruction,"Implicit 16_July 3, 2024_03.48.csv",VISUAL OBSTRUCTION and DEMOCRACY
R_8mgKbKCkvadJDRD,"When a government actively tries to hide information from its citizens, democracy is at risk.","Implicit 16_July 3, 2024_03.48.csv",VISUAL OBSTRUCTION and DEMOCRACY
R_60OWT6SmnkvKkiu,The mind is a container ,"Implicit 16_July 3, 2024_03.48.csv",CONTAINMENT and MIND
R_8mgKbKCkvadJDRD,"Although our brain has a physical limit, what our mind is capable of is potentially limitless.","Implicit 16_July 3, 2024_03.48.csv",CONTAINMENT and MIND
R_60OWT6SmnkvKkiu,Society is personified,"Implicit 16_July 3, 2024_03.48.csv",PERSON and SOCIETY
R_8mgKbKCkvadJDRD,"Society cannot exist without people, it is made by people and for people.","Implicit 16_July 3, 2024_03.48.csv",PERSON and SOCIETY
R_2qxySixzv4m44Lf,,"Implicit 17_July 3, 2024_03.50.csv",BULLY and NATION
R_2qxySixzv4m44Lf,,"Implicit 17_July 3, 2024_03.50.csv",PARASITE and CORRUPTION
R_2qxySixzv4m44Lf,,"Implicit 17_July 3, 2024_03.50.csv",BIOLOGICAL ENTITY and IDEOLOGY
R_2XQfn6d4kfaYJsB,"As you can move from a location to a different one, you can also move from a state to a different and better one, improving that state.","Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_2XQfn6d4kfaYJsB,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_2XQfn6d4kfaYJsB,"A government institution is made of different parts with different functions and interacts with other institutions, like a body.","Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_2XQfn6d4kfaYJsB,,"Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",MOTION TO A LOCATION and IMPROVING A STATE
R_2XQfn6d4kfaYJsB,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",ENTRAPMENT and WELFARE
R_2XQfn6d4kfaYJsB,,"Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_8uFmlaE7MDj8I9j,,"Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_8VEGIRK5xXR1BGG,,"Implicit 19_July 3, 2024_03.52.csv",BODY and GOVERNMENT INSTITUTION
R_868xTm2umV6OHvz,"Both refer to identity, personal the former, collective the latter","Implicit 21_July 3, 2024_03.57.csv",BODY and NATION
R_7LX8sFhL0Fmftpz,,"Implicit 21_July 3, 2024_03.57.csv",BODY and NATION
R_4NgATYdGHTALZe6,,"Implicit 21_July 3, 2024_03.57.csv",BODY and NATION
R_1dXxEEQzX2V9AHL,,"Implicit 21_July 3, 2024_03.57.csv",BODY and NATION
R_868xTm2umV6OHvz,"both refer to repulsion, the former recalls taste, the latter sight","Implicit 21_July 3, 2024_03.57.csv",DISGUSTING and BADNESS
R_7LX8sFhL0Fmftpz,,"Implicit 21_July 3, 2024_03.57.csv",DISGUSTING and BADNESS
R_4NgATYdGHTALZe6,,"Implicit 21_July 3, 2024_03.57.csv",DISGUSTING and BADNESS
R_1dXxEEQzX2V9AHL,,"Implicit 21_July 3, 2024_03.57.csv",DISGUSTING and BADNESS
R_868xTm2umV6OHvz,Both refer to structure and to construction,"Implicit 21_July 3, 2024_03.57.csv",BUILDING and MIND
R_7LX8sFhL0Fmftpz,,"Implicit 21_July 3, 2024_03.57.csv",BUILDING and MIND
R_4NgATYdGHTALZe6,,"Implicit 21_July 3, 2024_03.57.csv",BUILDING and MIND
R_1dXxEEQzX2V9AHL,,"Implicit 21_July 3, 2024_03.57.csv",BUILDING and MIND
R_4j6hKZAMv8weI7y,A good substance makes quality,"Implicit 22_July 3, 2024_03.59.csv",SUBSTANCE and QUALITY
R_2BTZdrxVO4mCRJn,,"Implicit 22_July 3, 2024_03.59.csv",SUBSTANCE and QUALITY
R_2jHgA8Ebq40MLhb,,"Implicit 22_July 3, 2024_03.59.csv",SUBSTANCE and QUALITY
R_4j6hKZAMv8weI7y,Less goes faster,"Implicit 22_July 3, 2024_03.59.csv",CAUSED UPWARD MOTION and QUANTITY
R_2BTZdrxVO4mCRJn,,"Implicit 22_July 3, 2024_03.59.csv",CAUSED UPWARD MOTION and QUANTITY
R_2jHgA8Ebq40MLhb,,"Implicit 22_July 3, 2024_03.59.csv",CAUSED UPWARD MOTION and QUANTITY
R_4j6hKZAMv8weI7y,Cancer like war? Too old,"Implicit 22_July 3, 2024_03.59.csv",WAR and CANCER TREATMENT
R_2BTZdrxVO4mCRJn,,"Implicit 22_July 3, 2024_03.59.csv",WAR and CANCER TREATMENT
R_2jHgA8Ebq40MLhb,,"Implicit 22_July 3, 2024_03.59.csv",WAR and CANCER TREATMENT
R_4COwZMpem0zz7ZN,"Morality is what permits to establish a conduct according to principles independent from the contingencies of the situation, just as pyhsical strength permits to occupy a space or hold a position despite other bodies","Implicit 23_July 3, 2024_04.01.csv",PHYSICAL STRENGTH and MORALITY
R_2CV31ldNzRoaHPn,,"Implicit 23_July 3, 2024_04.01.csv",PHYSICAL STRENGTH and MORALITY
R_5CEfeJe4XONt3By,,"Implicit 23_July 3, 2024_04.01.csv",PHYSICAL STRENGTH and MORALITY
R_4COwZMpem0zz7ZN,One entity is the place where another entity finds itself,"Implicit 23_July 3, 2024_04.01.csv",ENTITY and ENTITY
R_2CV31ldNzRoaHPn,,"Implicit 23_July 3, 2024_04.01.csv",ENTITY and ENTITY
R_5CEfeJe4XONt3By,,"Implicit 23_July 3, 2024_04.01.csv",ENTITY and ENTITY
R_4COwZMpem0zz7ZN,A ticket is the sign to show your capability to aid someone to act,"Implicit 23_July 3, 2024_04.01.csv",TICKET and AIDS TO ACTION
R_2CV31ldNzRoaHPn,,"Implicit 23_July 3, 2024_04.01.csv",TICKET and AIDS TO ACTION
R_5CEfeJe4XONt3By,,"Implicit 23_July 3, 2024_04.01.csv",TICKET and AIDS TO ACTION
R_7pZIH3RSgrPUEAp,,"Implicit 24_July 3, 2024_04.05.csv",OPERATING A MACHINE and LEGISLATIVE ACTION
R_2mdONwTwC3dTAMX,,"Implicit 24_July 3, 2024_04.05.csv",OPERATING A MACHINE and LEGISLATIVE ACTION
R_5rhYz8wPGQcRxKV,,"Implicit 24_July 3, 2024_04.05.csv",OPERATING A MACHINE and LEGISLATIVE ACTION
R_5Euu0UA4mqMcuzr,,"Implicit 24_July 3, 2024_04.05.csv",OPERATING A MACHINE and LEGISLATIVE ACTION
R_7pZIH3RSgrPUEAp,,"Implicit 24_July 3, 2024_04.05.csv",WORK SCENARIO and GOVERNMENT
R_2mdONwTwC3dTAMX,,"Implicit 24_July 3, 2024_04.05.csv",WORK SCENARIO and GOVERNMENT
R_5rhYz8wPGQcRxKV,,"Implicit 24_July 3, 2024_04.05.csv",WORK SCENARIO and GOVERNMENT
R_5Euu0UA4mqMcuzr,,"Implicit 24_July 3, 2024_04.05.csv",WORK SCENARIO and GOVERNMENT
R_7pZIH3RSgrPUEAp,,"Implicit 24_July 3, 2024_04.05.csv",DISEASE and REGULATION
R_2mdONwTwC3dTAMX,,"Implicit 24_July 3, 2024_04.05.csv",DISEASE and REGULATION
R_5rhYz8wPGQcRxKV,,"Implicit 24_July 3, 2024_04.05.csv",DISEASE and REGULATION
R_5Euu0UA4mqMcuzr,,"Implicit 24_July 3, 2024_04.05.csv",DISEASE and REGULATION
R_2Evwm6xY3AcaLgR,,"Implicit 25_July 3, 2024_04.06.csv",OBJECT and LAW
R_2Evwm6xY3AcaLgR,,"Implicit 25_July 3, 2024_04.06.csv",DISEASE and CORRUPTION
R_2Evwm6xY3AcaLgR,,"Implicit 25_July 3, 2024_04.06.csv",COMPLEX PHYSICAL OBJECT and LOGICAL STRUCTURE
R_8ZIDmGfNMJCUtEM,"anger can be felt gradually: initially it is a mild sensation, then it grows and gets louder and louder and harder to ignore, just like a fluid when heated to boiling","Implicit 31_July 3, 2024_04.15.csv",HEATING FLUID and ANGER
R_2DYz8EI4pyusTps,,"Implicit 31_July 3, 2024_04.15.csv",HEATING FLUID and ANGER
R_8CBWHKig5f0ad63,,"Implicit 31_July 3, 2024_04.15.csv",HEATING FLUID and ANGER
R_8ZIDmGfNMJCUtEM,"They both requires logic, numbers and measurements.","Implicit 31_July 3, 2024_04.15.csv",OBJECT CONSTRUCTION and ARITHMETIC
R_2DYz8EI4pyusTps,,"Implicit 31_July 3, 2024_04.15.csv",OBJECT CONSTRUCTION and ARITHMETIC
R_8CBWHKig5f0ad63,,"Implicit 31_July 3, 2024_04.15.csv",OBJECT CONSTRUCTION and ARITHMETIC
R_8ZIDmGfNMJCUtEM,"when you gain possession of something you want to exercise power over it, so possess something can be considered a for of control over it ","Implicit 31_July 3, 2024_04.15.csv",GAIN POSSESSION and CONTROL
R_2DYz8EI4pyusTps,,"Implicit 31_July 3, 2024_04.15.csv",GAIN POSSESSION and CONTROL
R_8CBWHKig5f0ad63,,"Implicit 31_July 3, 2024_04.15.csv",GAIN POSSESSION and CONTROL
R_5r2sfp1DIefaYKd,,"Implicit 32_July 3, 2024_04.17.csv",MOTION ALONG A PATH and CHANGE OF STATE
R_7FM9dwaBCwH1Mxr,"moving towards a certain purpose, here conceived as a change of state, by following a path drawn out of a strategy","Implicit 32_July 3, 2024_04.17.csv",MOTION ALONG A PATH and CHANGE OF STATE
R_2QMGIbcGfhxlJBG,Modifying one's position,"Implicit 32_July 3, 2024_04.17.csv",MOTION ALONG A PATH and CHANGE OF STATE
R_3qhLCNc1iLDFdgB,,"Implicit 32_July 3, 2024_04.17.csv",MOTION ALONG A PATH and CHANGE OF STATE
R_5r2sfp1DIefaYKd,,"Implicit 32_July 3, 2024_04.17.csv",POSSESSION CHANGE and CHANGE OF STATE
R_7FM9dwaBCwH1Mxr,change of state achieved through a change in possession,"Implicit 32_July 3, 2024_04.17.csv",POSSESSION CHANGE and CHANGE OF STATE
R_2QMGIbcGfhxlJBG,Ownership change,"Implicit 32_July 3, 2024_04.17.csv",POSSESSION CHANGE and CHANGE OF STATE
R_3qhLCNc1iLDFdgB,,"Implicit 32_July 3, 2024_04.17.csv",POSSESSION CHANGE and CHANGE OF STATE
R_5r2sfp1DIefaYKd,"The former is more related to stability in a physical sense, the latter to abstraction.","Implicit 32_July 3, 2024_04.17.csv",PHYSICAL STRUCTURE and RIGHTS
R_7FM9dwaBCwH1Mxr,a physical structure might rely on an interweaving of multiple rights,"Implicit 32_July 3, 2024_04.17.csv",PHYSICAL STRUCTURE and RIGHTS
R_2QMGIbcGfhxlJBG,Citizens,"Implicit 32_July 3, 2024_04.17.csv",PHYSICAL STRUCTURE and RIGHTS
R_3qhLCNc1iLDFdgB,,"Implicit 32_July 3, 2024_04.17.csv",PHYSICAL STRUCTURE and RIGHTS
R_2KZQ76pqj12DaO8,,"Implicit 33_July 3, 2024_04.19.csv",DECAY and CORRUPTION
R_2KZQ76pqj12DaO8,,"Implicit 33_July 3, 2024_04.19.csv",EROSION and CORRUPTION
R_2KZQ76pqj12DaO8,,"Implicit 33_July 3, 2024_04.19.csv",FIERCE ANIMAL and CRIME
R_2asjUMKFv4b3ote,Ideas are considered to be the food for thought.,"Implicit 36_July 3, 2024_04.24.csv",FOOD and IDEA
R_4L99Pp6AIUSdhOF,Ideas are food for the mind,"Implicit 36_July 3, 2024_04.24.csv",FOOD and IDEA
R_4EiDTVH1oZT6K2J,,"Implicit 36_July 3, 2024_04.24.csv",FOOD and IDEA
R_2Eh6rA8CweKbHXT,,"Implicit 36_July 3, 2024_04.24.csv",FOOD and IDEA
R_89n3qvxY1spp0TY,,"Implicit 36_July 3, 2024_04.24.csv",FOOD and IDEA
R_2asjUMKFv4b3ote,Ideas are the objects of thought.,"Implicit 36_July 3, 2024_04.24.csv",OBJECT and IDEA
R_4L99Pp6AIUSdhOF,ideas are mind objects,"Implicit 36_July 3, 2024_04.24.csv",OBJECT and IDEA
R_4EiDTVH1oZT6K2J,,"Implicit 36_July 3, 2024_04.24.csv",OBJECT and IDEA
R_2Eh6rA8CweKbHXT,,"Implicit 36_July 3, 2024_04.24.csv",OBJECT and IDEA
R_89n3qvxY1spp0TY,,"Implicit 36_July 3, 2024_04.24.csv",OBJECT and IDEA
R_2asjUMKFv4b3ote,An idea is mine when I develop it.,"Implicit 36_July 3, 2024_04.24.csv",POSSESSION and IDEA
R_4L99Pp6AIUSdhOF,One can possess an idea,"Implicit 36_July 3, 2024_04.24.csv",POSSESSION and IDEA
R_4EiDTVH1oZT6K2J,,"Implicit 36_July 3, 2024_04.24.csv",POSSESSION and IDEA
R_2Eh6rA8CweKbHXT,,"Implicit 36_July 3, 2024_04.24.csv",POSSESSION and IDEA
R_89n3qvxY1spp0TY,,"Implicit 36_July 3, 2024_04.24.csv",POSSESSION and IDEA
R_4v6RE1juGBJWVDH,"Gain possession is not intended to be shared, learning in not possible if not shared","Implicit 37_July 3, 2024_04.25.csv",GAIN POSSESSION and LEARNING
R_4v6RE1juGBJWVDH,Both have a starting and an ending point,"Implicit 37_July 3, 2024_04.25.csv",JOURNEY and LIFE
R_4v6RE1juGBJWVDH,A wealth body works in a such perfect way that it seems a machine,"Implicit 37_July 3, 2024_04.25.csv",PERSON and MACHINE
R_5qwfB7jjAdkvg6O,,"Implicit 38_July 3, 2024_04.27.csv",PERSON and NATION
R_5qwfB7jjAdkvg6O,,"Implicit 38_July 3, 2024_04.27.csv",VEHICLE and NATION
R_5qwfB7jjAdkvg6O,,"Implicit 38_July 3, 2024_04.27.csv",MACHINE and ORGANIZATION
R_2fxQHsR3x0ewQiW,,"Implicit 39_July 3, 2024_04.28.csv",COMPLEX PHYSICAL OBJECT and RELATIONSHIP
R_28OqRPHLvcHO1JY,,"Implicit 39_July 3, 2024_04.28.csv",COMPLEX PHYSICAL OBJECT and RELATIONSHIP
R_2fxQHsR3x0ewQiW,,"Implicit 39_July 3, 2024_04.28.csv",CONTAINING and RELATIONSHIP
R_28OqRPHLvcHO1JY,,"Implicit 39_July 3, 2024_04.28.csv",CONTAINING and RELATIONSHIP
R_2fxQHsR3x0ewQiW,,"Implicit 39_July 3, 2024_04.28.csv",OBJECT and RELATIONSHIP
R_28OqRPHLvcHO1JY,,"Implicit 39_July 3, 2024_04.28.csv",OBJECT and RELATIONSHIP
R_1YLGoYLWzxNhPZH,Disease is the one of consequence of social problems,"Implicit 40_July 3, 2024_04.29.csv",DISEASE and SOCIAL PROBLEMS
R_8dpSj7cr0854z9n,Social problems sees as medical conditions,"Implicit 40_July 3, 2024_04.29.csv",DISEASE and SOCIAL PROBLEMS
R_1YLGoYLWzxNhPZH,physical afflication is the subproblem of social problems,"Implicit 40_July 3, 2024_04.29.csv",PHYSICAL AFFLICTION and SOCIAL PROBLEMS
R_8dpSj7cr0854z9n,,"Implicit 40_July 3, 2024_04.29.csv",PHYSICAL AFFLICTION and SOCIAL PROBLEMS
R_1YLGoYLWzxNhPZH,Bounded region is overlapping nation. Same same but different,"Implicit 40_July 3, 2024_04.29.csv",BOUNDED REGION and NATION
R_8dpSj7cr0854z9n,Nation as a container,"Implicit 40_July 3, 2024_04.29.csv",BOUNDED REGION and NATION
R_2wQDxVUqR8sEu73,It takes time to move along a path,"Implicit 41_July 3, 2024_04.31.csv",MOTION ALONG A PATH and TIME
R_2wQDxVUqR8sEu73,subtances over time turn are made into something more complex,"Implicit 41_July 3, 2024_04.31.csv",SUBSTANCE and TIME
R_2wQDxVUqR8sEu73,Time is needed to earn money,"Implicit 41_July 3, 2024_04.31.csv",MONEY and TIME
R_2wQDxVUqR8sEu73,,"Implicit 41_July 3, 2024_04.31.csv",MOTION ALONG A PATH and TIME
R_2wQDxVUqR8sEu73,,"Implicit 41_July 3, 2024_04.31.csv",SUBSTANCE and TIME
R_2wQDxVUqR8sEu73,,"Implicit 41_July 3, 2024_04.31.csv",MONEY and TIME
R_7DCrnaBXlZpnNP0,"At a certain point in time, we all perceive to be connected to a specific location.","Implicit 4_July 1, 2024_09.55.csv",BEING AT A LOCATION and TIME
R_1OIoPoFU9iz51dL,,"Implicit 4_July 1, 2024_09.55.csv",BEING AT A LOCATION and TIME
R_23dV91OfIJuAlsF,,"Implicit 4_July 1, 2024_09.55.csv",BEING AT A LOCATION and TIME
R_7DCrnaBXlZpnNP0,Writing facilitates memorization,"Implicit 4_July 1, 2024_09.55.csv",WRITING and MEMORIZATION
R_1OIoPoFU9iz51dL,,"Implicit 4_July 1, 2024_09.55.csv",WRITING and MEMORIZATION
R_23dV91OfIJuAlsF,,"Implicit 4_July 1, 2024_09.55.csv",WRITING and MEMORIZATION
R_7DCrnaBXlZpnNP0,Heat is the result of great desire,"Implicit 4_July 1, 2024_09.55.csv",HEAT and DESIRE
R_1OIoPoFU9iz51dL,,"Implicit 4_July 1, 2024_09.55.csv",HEAT and DESIRE
R_23dV91OfIJuAlsF,,"Implicit 4_July 1, 2024_09.55.csv",HEAT and DESIRE
R_5oz2BknkaGTuXhr,,"Implicit 5_July 1, 2024_09.58.csv",MOTION ALONG A PATH and ACTION
R_2mcTSQeFmyWKF3P,,"Implicit 5_July 1, 2024_09.58.csv",MOTION ALONG A PATH and ACTION
R_8q9490vEOTeG52c,,"Implicit 5_July 1, 2024_09.58.csv",MOTION ALONG A PATH and ACTION
R_5oz2BknkaGTuXhr,,"Implicit 5_July 1, 2024_09.58.csv",MOTION IMPEDIMENTS and IMPROVING ECONOMIC STATUS
R_2mcTSQeFmyWKF3P,,"Implicit 5_July 1, 2024_09.58.csv",MOTION IMPEDIMENTS and IMPROVING ECONOMIC STATUS
R_8q9490vEOTeG52c,,"Implicit 5_July 1, 2024_09.58.csv",MOTION IMPEDIMENTS and IMPROVING ECONOMIC STATUS
R_5oz2BknkaGTuXhr,,"Implicit 5_July 1, 2024_09.58.csv",SPELLING and COMMUNICATION
R_2mcTSQeFmyWKF3P,,"Implicit 5_July 1, 2024_09.58.csv",SPELLING and COMMUNICATION
R_8q9490vEOTeG52c,,"Implicit 5_July 1, 2024_09.58.csv",SPELLING and COMMUNICATION
R_1EyQTaLiELFQNJP,,"Implicit 6_July 1, 2024_10.01.csv",MAZE and IMPROVING ECONOMIC STATUS
R_1EyQTaLiELFQNJP,,"Implicit 6_July 1, 2024_10.01.csv",STRICT FATHER FAMILY and LAISSEZ-FAIRE MARKET
R_1EyQTaLiELFQNJP,,"Implicit 6_July 1, 2024_10.01.csv",INCREASE SIZE and MORALITY
R_1Nl95yUtgx7FRkc,,"Implicit 7_July 1, 2024_10.04.csv",PROXIMAL DISTAL and SIMILARITY
R_1FtsVyhWkW0lo8G,,"Implicit 7_July 1, 2024_10.04.csv",PROXIMAL DISTAL and SIMILARITY
R_2kNHbQwRarydB6O,,"Implicit 7_July 1, 2024_10.04.csv",PROXIMAL DISTAL and SIMILARITY
R_8Cx2MVuPwHTACnx,"Proximal and distal refer to an internal observer to the ""thing"" observed; similiraty is a gaze from the outside the observer.","Implicit 7_July 1, 2024_10.04.csv",PROXIMAL DISTAL and SIMILARITY
R_6UWmYpfYV2sF2vJ,,"Implicit 7_July 1, 2024_10.04.csv",PROXIMAL DISTAL and SIMILARITY
R_1Nl95yUtgx7FRkc,,"Implicit 7_July 1, 2024_10.04.csv",BIOLOGICAL ENTITY and DEBT
R_1FtsVyhWkW0lo8G,,"Implicit 7_July 1, 2024_10.04.csv",BIOLOGICAL ENTITY and DEBT
R_2kNHbQwRarydB6O,,"Implicit 7_July 1, 2024_10.04.csv",BIOLOGICAL ENTITY and DEBT
R_8Cx2MVuPwHTACnx,"Both depend upon structures, either biological or economic","Implicit 7_July 1, 2024_10.04.csv",BIOLOGICAL ENTITY and DEBT
R_6UWmYpfYV2sF2vJ,,"Implicit 7_July 1, 2024_10.04.csv",BIOLOGICAL ENTITY and DEBT
R_1Nl95yUtgx7FRkc,,"Implicit 7_July 1, 2024_10.04.csv",GAMBLING and EDUCATIONAL EVALUATION
R_1FtsVyhWkW0lo8G,,"Implicit 7_July 1, 2024_10.04.csv",GAMBLING and EDUCATIONAL EVALUATION
R_2kNHbQwRarydB6O,,"Implicit 7_July 1, 2024_10.04.csv",GAMBLING and EDUCATIONAL EVALUATION
R_8Cx2MVuPwHTACnx,"The first one may create addiction, the second one cannot","Implicit 7_July 1, 2024_10.04.csv",GAMBLING and EDUCATIONAL EVALUATION
R_6UWmYpfYV2sF2vJ,,"Implicit 7_July 1, 2024_10.04.csv",GAMBLING and EDUCATIONAL EVALUATION
R_3P2h0G804tv8bE1,Being close phisically or ideally ,"Implicit 8_July 1, 2024_10.06.csv",PROXIMITY and AGREEMENT
R_52bK2fGePFyK7cJ,feel good together and close,"Implicit 8_July 1, 2024_10.06.csv",PROXIMITY and AGREEMENT
R_3P2h0G804tv8bE1,,"Implicit 8_July 1, 2024_10.06.csv",RACE and ELECTION
